regionName,schaefer
8Ad_L,7Networks_LH_Default_PFC_12
8BL_L,7Networks_LH_Default_PFC_9
9p_L,7Networks_LH_SalVentAttn_PFCl_1
8C_L,7Networks_LH_Cont_PFCl_4
44_L,7Networks_LH_Default_PFC_5
45_L,7Networks_LH_Default_PFC_5
47l_L,7Networks_LH_Default_PFC_3
a47r_L,7Networks_LH_Cont_PFCl_1
6r_L,7Networks_LH_SalVentAttn_FrOperIns_4
IFJa_L,7Networks_LH_Cont_PFCl_4
IFJp_L,7Networks_LH_DorsAttn_PrCv_1
IFSp_L,7Networks_LH_Cont_PFCl_4
IFSa_L,7Networks_LH_Cont_PFCl_3
p9-46v_L,7Networks_LH_Cont_PFCl_4
46_L,7Networks_LH_Cont_PFCl_3
a9-46v_L,7Networks_LH_Cont_PFCl_3
9-46d_L,7Networks_LH_SalVentAttn_PFCl_1
9a_L,7Networks_LH_SalVentAttn_PFCl_1
6a_L,7Networks_LH_DorsAttn_FEF_1
i6-8_L,7Networks_LH_DorsAttn_FEF_1
s6-8_L,7Networks_LH_Default_PFC_12
p47r_L,7Networks_LH_Cont_PFCl_1
47m_L,7Networks_LH_Cont_OFC_1
10d_L,7Networks_LH_Default_PFC_7
a10p_L,7Networks_LH_Default_PFC_4
10pp_L,7Networks_LH_Default_PFC_4
11l_L,7Networks_LH_Cont_OFC_1
13l_L,7Networks_LH_Limbic_OFC_1
OFC_L,7Networks_LH_Limbic_OFC_2
47s_L,7Networks_LH_Default_PFC_1
p10p_L,7Networks_LH_Cont_PFCl_2
PoI2_L,7Networks_LH_SalVentAttn_FrOperIns_1
FOP4_L,7Networks_LH_SalVentAttn_FrOperIns_4
MI_L,7Networks_LH_SalVentAttn_FrOperIns_1
Pir_L,7Networks_LH_Limbic_TempPole_4
AVI_L,7Networks_LH_Default_PFC_1
AAIC_L,7Networks_LH_Default_PFC_1
FOP3_L,7Networks_LH_SalVentAttn_FrOperIns_3
FOP2_L,7Networks_LH_SalVentAttn_FrOperIns_3
PoI1_L,7Networks_LH_SalVentAttn_FrOperIns_1
Ig_L,7Networks_LH_SomMot_3
FOP5_L,7Networks_LH_SalVentAttn_FrOperIns_2
PI_L,7Networks_LH_Default_Temp_3
V1_R,7Networks_RH_Vis_9
V6_R,7Networks_RH_Vis_13
V2_R,7Networks_RH_Vis_6
V3_R,7Networks_RH_Vis_8
V4_R,7Networks_RH_Vis_3
V3A_R,7Networks_RH_Vis_12
V7_R,7Networks_RH_Vis_12
IPS1_R,7Networks_RH_Vis_15
V3B_R,7Networks_RH_Vis_12
V6A_R,7Networks_RH_Vis_14
MST_R,7Networks_RH_DorsAttn_Post_2
V8_R,7Networks_RH_Vis_3
FFC_R,7Networks_RH_Vis_3
LO1_R,7Networks_RH_Vis_11
LO2_R,7Networks_RH_Vis_5
PIT_R,7Networks_RH_Vis_5
MT_R,7Networks_RH_Vis_5
A1_R,7Networks_RH_SomMot_1
52_R,7Networks_RH_SalVentAttn_FrOperIns_2
RI_R,7Networks_RH_SomMot_4
PFcm_R,7Networks_RH_SomMot_4
TA2_R,7Networks_RH_SalVentAttn_FrOperIns_2
EC_R,7Networks_RH_Limbic_TempPole_3
PreS_R,7Networks_RH_Vis_7
H_R,7Networks_RH_Vis_2
PeEc_R,7Networks_RH_Limbic_TempPole_3
STGa_R,7Networks_RH_Default_Temp_1
PBelt_R,7Networks_RH_SomMot_1
A5_R,7Networks_RH_Default_Temp_3
PHA1_R,7Networks_RH_Vis_2
PHA3_R,7Networks_RH_Vis_2
STSda_R,7Networks_RH_Default_Temp_3
STSdp_R,7Networks_RH_Default_Temp_5
STSvp_R,7Networks_RH_Default_Temp_4
TGd_R,7Networks_RH_Limbic_TempPole_1
TE1a_R,7Networks_RH_Default_Temp_2
TE1p_R,7Networks_RH_Cont_Temp_1
TE2a_R,7Networks_RH_Limbic_TempPole_2
TF_R,7Networks_RH_Vis_1
TE2p_R,7Networks_RH_Vis_1
PHT_R,7Networks_RH_DorsAttn_Post_1
PH_R,7Networks_RH_DorsAttn_Post_1
VMV1_R,7Networks_RH_Vis_4
VMV3_R,7Networks_RH_Vis_3
PHA2_R,7Networks_RH_Vis_2
V4t_R,7Networks_RH_Vis_5
FST_R,7Networks_RH_Vis_5
V3CD_R,7Networks_RH_Vis_12
LO3_R,7Networks_RH_Vis_11
VMV2_R,7Networks_RH_Vis_2
VVC_R,7Networks_RH_Vis_3
TGv_R,7Networks_RH_Limbic_TempPole_1
MBelt_R,7Networks_RH_SomMot_1
LBelt_R,7Networks_RH_SomMot_4
A4_R,7Networks_RH_SomMot_2
STSva_R,7Networks_RH_Default_Temp_4
TE1m_R,7Networks_RH_Default_Temp_2
PSL_R,7Networks_RH_SalVentAttn_TempOccPar_2
STV_R,7Networks_RH_SalVentAttn_TempOccPar_1
TPOJ1_R,7Networks_RH_Default_Temp_5
TPOJ2_R,7Networks_RH_DorsAttn_Post_2
TPOJ3_R,7Networks_RH_DorsAttn_Post_2
7Pm_R,7Networks_RH_Default_pCunPCC_3
7AL_R,7Networks_RH_DorsAttn_Post_10
7Am_R,7Networks_RH_DorsAttn_Post_9
7PL_R,7Networks_RH_DorsAttn_Post_6
7PC_R,7Networks_RH_DorsAttn_Post_8
LIPv_R,7Networks_RH_DorsAttn_Post_8
VIP_R,7Networks_RH_DorsAttn_Post_9
MIP_R,7Networks_RH_DorsAttn_Post_6
LIPd_R,7Networks_RH_DorsAttn_Post_7
PFt_R,7Networks_RH_DorsAttn_Post_5
AIP_R,7Networks_RH_DorsAttn_Post_7
PGp_R,7Networks_RH_Vis_11
IP2_R,7Networks_RH_DorsAttn_Post_4
IP1_R,7Networks_RH_Cont_Par_3
IP0_R,7Networks_RH_Vis_15
PFop_R,7Networks_RH_SalVentAttn_TempOccPar_3
PF_R,7Networks_RH_SalVentAttn_TempOccPar_3
PFm_R,7Networks_RH_Default_Par_2
PGi_R,7Networks_RH_Default_Par_1
PGs_R,7Networks_RH_Cont_Par_3
RSC_R,7Networks_RH_Default_pCunPCC_1
POS2_R,7Networks_RH_Cont_pCun_1
PCV_R,7Networks_RH_Default_pCunPCC_3
7m_R,7Networks_RH_Default_pCunPCC_3
POS1_R,7Networks_RH_Default_pCunPCC_1
23d_R,7Networks_RH_Cont_Cing_1
v23ab_R,7Networks_RH_Default_pCunPCC_2
d23ab_R,7Networks_RH_Default_pCunPCC_2
31pv_R,7Networks_RH_Default_pCunPCC_2
p24pr_R,7Networks_RH_SalVentAttn_Med_1
33pr_R,7Networks_RH_Default_PFCdPFCm_3
a24pr_R,7Networks_RH_SalVentAttn_Med_1
p32pr_R,7Networks_RH_SalVentAttn_Med_1
a24_R,7Networks_RH_Default_PFCdPFCm_2
d32_R,7Networks_RH_Cont_PFCmp_1
8BM_R,7Networks_RH_Cont_PFCmp_2
p32_R,7Networks_RH_Default_PFCdPFCm_2
10r_R,7Networks_RH_Default_PFCdPFCm_1
9m_R,7Networks_RH_Default_PFCdPFCm_4
10v_R,7Networks_RH_Default_PFCdPFCm_1
ProS_R,7Networks_RH_Vis_7
DVT_R,7Networks_RH_Vis_10
31pd_R,7Networks_RH_Default_pCunPCC_3
31a_R,7Networks_RH_Default_pCunPCC_3
25_R,7Networks_RH_Default_PFCdPFCm_1
s32_R,7Networks_RH_Default_PFCdPFCm_1
pOFC_R,7Networks_RH_Default_PFCdPFCm_1
a32pr_R,7Networks_RH_Cont_PFCmp_1
p24_R,7Networks_RH_Cont_PFCmp_1
4_R,7Networks_RH_SomMot_7
3b_R,7Networks_RH_SomMot_19
5m_R,7Networks_RH_SomMot_17
5mv_R,7Networks_RH_SalVentAttn_Med_2
23c_R,7Networks_RH_SalVentAttn_Med_2
5L_R,7Networks_RH_SomMot_17
24dd_R,7Networks_RH_SomMot_11
24dv_R,7Networks_RH_SomMot_8
SCEF_R,7Networks_RH_SalVentAttn_Med_3
6ma_R,7Networks_RH_SalVentAttn_Med_3
1_R,7Networks_RH_SomMot_9
2_R,7Networks_RH_DorsAttn_Post_5
3a_R,7Networks_RH_SomMot_6
6mp_R,7Networks_RH_SomMot_16
43_R,7Networks_RH_SomMot_5
OP4_R,7Networks_RH_SomMot_6
OP1_R,7Networks_RH_SomMot_4
OP2-3_R,7Networks_RH_SomMot_3
FOP1_R,7Networks_RH_SalVentAttn_FrOperIns_4
FEF_R,7Networks_RH_DorsAttn_FEF_1
PEF_R,7Networks_RH_SalVentAttn_PrC_1
55b_R,7Networks_RH_SalVentAttn_PrC_1
SFL_R,7Networks_RH_Cont_PFCmp_2
6d_R,7Networks_RH_SomMot_16
6v_R,7Networks_RH_DorsAttn_PrCv_1
8Av_R,7Networks_RH_Cont_PFCl_7
8Ad_R,7Networks_RH_Default_PFCdPFCm_7
8BL_R,7Networks_RH_Default_PFCdPFCm_5
9p_R,7Networks_RH_Default_PFCdPFCm_5
8C_R,7Networks_RH_Cont_PFCl_4
44_R,7Networks_RH_DorsAttn_PrCv_1
45_R,7Networks_RH_Default_PFCv_1
47l_R,7Networks_RH_Default_PFCv_1
a47r_R,7Networks_RH_Cont_PFCl_1
6r_R,7Networks_RH_DorsAttn_PrCv_1
IFJa_R,7Networks_RH_Cont_PFCl_4
IFJp_R,7Networks_RH_DorsAttn_PrCv_1
IFSp_R,7Networks_RH_Cont_PFCl_4
IFSa_R,7Networks_RH_Cont_PFCl_3
p9-46v_R,7Networks_RH_Cont_PFCl_6
46_R,7Networks_RH_Cont_PFCl_5
a9-46v_R,7Networks_RH_Cont_PFCl_3
9-46d_R,7Networks_RH_Cont_PFCl_5
9a_R,7Networks_RH_Default_PFCdPFCm_4
6a_R,7Networks_RH_DorsAttn_FEF_1
i6-8_R,7Networks_RH_DorsAttn_FEF_2
s6-8_R,7Networks_RH_Default_PFCdPFCm_7
p47r_R,7Networks_RH_Cont_PFCl_3
47m_R,7Networks_RH_Limbic_OFC_2
10d_R,7Networks_RH_Default_PFCdPFCm_4
a10p_R,7Networks_RH_Limbic_OFC_3
10pp_R,7Networks_RH_Limbic_OFC_3
11l_R,7Networks_RH_Cont_PFCl_1
13l_R,7Networks_RH_Limbic_OFC_2
OFC_R,7Networks_RH_Limbic_OFC_1
47s_R,7Networks_RH_Limbic_OFC_2
p10p_R,7Networks_RH_Cont_PFCl_2
PoI2_R,7Networks_RH_SalVentAttn_FrOperIns_2
FOP4_R,7Networks_RH_SalVentAttn_FrOperIns_4
MI_R,7Networks_RH_SalVentAttn_FrOperIns_4
Pir_R,7Networks_RH_SalVentAttn_FrOperIns_1
AVI_R,7Networks_RH_Cont_PFCv_1
AAIC_R,7Networks_RH_Cont_PFCv_1
FOP3_R,7Networks_RH_SalVentAttn_FrOperIns_4
FOP2_R,7Networks_RH_SomMot_3
PoI1_R,7Networks_RH_SalVentAttn_FrOperIns_2
Ig_R,7Networks_RH_SomMot_3
FOP5_R,7Networks_RH_SalVentAttn_FrOperIns_3
PI_R,7Networks_RH_SalVentAttn_FrOperIns_1
