glasser_roi,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
Parieto-Occipital_Sulcus_Area_1,0.0,0.07150894769320121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003626791459491079,0.0,0.0,0.0,0.1735912129894938,0.018084285688656054,0.0
Area_23d,0.0,0.0,0.0026441036488630354,0.0,0.0,0.0,0.013801916932907348,0.004305365956106269,0.0,0.0,0.0256136606189968,0.0,0.0,0.0,0.0,0.023605761020133207,0.003494562199941213
Area_Ventral_23_a+b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03513681592039801,0.023451813851227556,0.0
Area_Dorsal_23_a+b,0.0,0.0,0.0,0.0,0.0,0.0,0.00010410973165716664,0.0,0.0,0.0,0.0020972211819339373,0.0,0.0,0.0,0.0,0.04038849889412444,0.0
Area_31p_Ventral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009292196007259529,0.0,0.0,0.0,0.0,0.048837253667563287,0.0
Area_5m,0.0,0.0,0.04966974900924703,0.0,0.0,0.00014222727919214906,0.005057600449564484,0.000104942806170637,0.0,0.0,0.005256055117550963,0.0,0.0,0.0,0.0,0.0,0.0
Area_5m_ventral,0.0,0.0,0.005124835742444152,0.0,0.0,0.009121764955451844,0.028543081737006797,0.004389173372348208,0.0,0.0,0.011658122059133367,0.0,0.0,0.0,0.0,0.0,0.0
Area_23c,0.0,0.0,0.016237901171676002,0.0,0.0,0.0,0.04866300866499491,0.006013658138823769,0.0,0.0,0.07772736239889523,0.0,0.0,0.0,0.0,0.0010770459230097862,0.0
Area_5L,0.0,0.0,0.02463880288957688,0.0,0.0,0.03299597948149175,5.0154224239536575e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorsal_Area_24d,0.0,0.0,0.09663341645885289,0.0,0.0,0.0,0.010989279347481012,0.0016033670708487824,0.0,0.0,0.001763335222621072,0.0,0.0,0.0,0.0,0.0,0.0
Lateral_Area_7A,0.0,0.0,0.01888341543513957,0.0,0.0,0.0,0.025826093803312248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Supplementary_and_Cingulate_Eye_Field,0.0,0.0,0.002440633245382585,0.0,0.006916027894645842,0.056028973157221995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Area_6m_Anterior,0.0,0.0,0.017410822615869934,0.0,0.0,0.003245488770608853,0.06836054210387935,0.010342123321243015,0.0,0.0,0.0,0.0,0.0,0.0030008110300081105,0.0,0.0,0.0003752931978107897
Medial_6m_anterior,0.0,0.0,0.009248350612629597,0.0,0.0,0.027173229337023524,0.034002008360383924,0.02976931176414281,0.0,0.0,0.0,0.0191266274916465,0.009957382403313815,0.0,0.0,0.0,6.160101025656821e-05
Medial_Area_7A,0.0,0.0,0.00031289111389236547,0.0,0.031478729844257335,0.04408804187357401,0.005045433392931495,0.0,0.0,0.0,0.05672948791166952,0.0,0.0,0.0,0.0,0.0,0.0
Lateral_Area_7P,0.0,0.00025247212286976645,0.0,0.0,0.031450994276273084,0.00014622020763269483,0.0,0.0,0.0,0.0,0.012621140410187063,0.0,0.0,0.0,0.0,0.0,0.0
Area_7PC,0.0,0.0,0.007606490872210953,0.0,0.022207380197027882,0.03211321268199755,0.0,0.0,0.0,0.0,0.0,0.005756799609708501,0.011084619567490692,0.0,0.0,0.0,0.0
Area_Lateral_IntraParietal_ventral,0.0,0.0,0.0,0.0,0.023029229406554472,0.0006585687106688131,0.0,0.0,0.0,0.0,0.0,0.0046749377103079805,0.0012240437158469945,0.0,0.0,0.0,0.0
Ventral_IntraParietal_Complex,0.0,0.0,0.0,0.0,0.03544765151960496,0.0076408091980788816,0.0,0.0,0.0,0.0,0.0,0.0017910600516848757,0.0,0.0,0.0,0.0,0.0
Medial_IntraParietal_Area,0.0,0.0,0.0,0.0,0.02270690170301763,0.0,0.0,0.0,0.0,0.0,0.00031039031582214634,0.008564532454387376,0.0,0.0,0.0,0.0,0.0
Area_1,0.0,0.0,0.0782320205479452,0.010536698020159252,0.0,0.03094832481544577,0.0004757271056330414,0.0,0.0,0.0,0.0,8.543540015805549e-05,0.0,0.0,0.0,0.0,0.0
Area_2,0.0,0.0,0.05081165221258617,0.0009957927755234136,0.0,0.13536369012418686,0.00330025643884491,0.0,0.0,0.0,0.0,0.00977564455404126,0.0,0.0,0.0,0.0,0.0
Area_3a,0.0,0.0,0.012628365251179573,0.010661174546445768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorsal_area_6,0.0,0.0,0.0439745508982036,0.0,5.487570652472151e-05,0.04059114618162365,0.0,0.0,0.0,0.0,0.0,0.0003372925048786952,0.0,0.0,0.0,0.0,0.0
Area_6mp,0.0,0.0,0.09600484261501209,0.0,0.0,0.012109830332858436,0.0019566202963563917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ventral_Area_6,0.0,0.0,0.0,0.016340141725719046,0.004312489633438381,0.04413551086516399,0.0026561078183025503,0.0,0.0,0.0,0.0,0.008778949921183459,4.161984434178216e-05,0.0,0.0,0.0,0.0
Area_Posterior_24,0.0,0.0,0.007436918990703851,0.0,0.0,0.0,0.055913206288953285,0.0022130888397091366,0.0,0.0,0.0014368848336805803,0.00010110456739883224,0.0,0.0,0.0,0.00019024789300458496,0.0005564465974927171
Area_33_prime,0.0,0.0,0.0,0.0,0.0,0.0,0.007949846605308793,0.00790080105344014,0.0,0.0,0.0,0.003100449302398907,0.0,0.0,0.0,0.0005092148299026616,0.0
Anterior_24_prime,0.0,0.0,0.0,0.0,0.0,0.0,0.02832170552688228,0.027395800021319687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
