4572 1 152 13 14 1 25 2913 1678 25 215 21 13 3 14283 2 0 313 7 61 13 44 0 183 125 0 102 11 160 3553 2918 1 26 12 51 0 0 0 2 3 0 3 0 4 5 0 0 0 0 2 0 2 1 0 0 0 3 0 1 5 1 1 1 9 6 4 0 1 0 1
1 3613 4 1000 65 2 1 5 7 889 5 29 17 81 7 48 19 4 3 19 12 6 5776 3 1708 2094 73 6790 45 13 3 65 3 1 12 0 27 62 105 0 0 0 3 2 5 0 4 0 24 2 1 11 17 4 12 1 2 10 8 22 22 167 863 10 1 2 8 0 0 0
152 4 41466 51 17 4 300 3501 5176 15 544 186 37 9 1935 7 22 12460 187 2379 13 1251 10 20839 130 4 27836 22269 1625 727 1914 17 52 32 1479 0 242 1036 132 1 2 9 75 31 63 6 5 2 4 12 4 280 259 17 54 1 57 104 233 251 21 498 6565 154 26 43 4 1 3 22
13 1000 51 623 98 4 50 50 175 751 75 184 79 344 108 66 2604 59 25 35 31 653 1283 245 2722 4174 228 7719 959 260 137 256 26 34 70 5 26 40 288 46 0 22 46 47 80 39 44 21 76 46 6 539 12 6 9 22 113 151 191 484 45 117 1033 458 145 83 26 5 10 25
14 65 17 98 28328 14 425 189 978 1633 11289 139 11721 17 304 337 3 31 37 28 25019 10 204 17 9410 78 26 219 14512 916 162 11 57 149 317 4 3 5 43 448 5 124 79 121 104 270 28 271 2 96 40 3 3 2 0 202 8 2 3 334 1 9 46 921 149 14 1 17 4 60
1 2 4 4 14 4536 5115 55 493 81 195 26 623 7 40 2250 1 9 4 4 41 3 6 4 64 9 3 14 66 17 14 0 3465 2 38 0 0 1 4 5 0 1 1 0 1 2 0 2 0 2 1 1 0 0 0 5 0 0 0 9 0 1 4 15 5 0 0 1 0 3
25 1 300 50 425 5115 90340 3243 29708 261 27160 1109 21472 129 1377 10144 1 234 132 145 1035 56 11 147 871 20 233 119 2929 1752 262 46 4177 52 763 2 2 0 27 84 0 40 41 59 30 55 9 59 5 53 10 2 1 1 1 44 5 0 3 176 1 2 7 279 96 28 0 6 5 37
2913 5 3501 50 189 55 3243 91841 17432 157 33014 396 482 35 19105 145 10 988 88 222 216 2137 17 4190 4239 5 881 335 50314 6114 16563 21 255 747 1185 3 1 23 22 32 0 17 22 28 24 25 5 15 0 18 9 57 7 0 3 21 56 7 70 182 2 9 135 240 49 55 0 3 8 22
1678 7 5176 175 978 493 29708 17432 76731 688 23542 910 7370 93 31008 583 9 4293 201 1002 1431 1034 21 3405 3873 26 2528 363 4481 2926 6228 41 3276 139 812 29 13 15 113 174 3 103 173 326 174 187 63 125 6 280 23 23 7 6 0 101 25 9 39 947 1 15 138 968 553 87 1 41 30 195
25 889 15 751 1633 81 261 157 688 8888 501 204 4185 123 410 2348 9 29 35 40 997 18 3805 32 15973 1658 88 2488 1266 999 179 85 84 144 289 3 14 46 412 82 3 16 24 36 74 48 24 54 56 29 8 14 15 4 4 32 27 7 10 238 13 84 395 301 56 27 13 3 4 24
215 5 544 75 11289 195 27160 33014 23542 501 186968 1386 28411 118 6867 906 2 235 288 253 22697 144 15 391 2426 18 374 232 30427 6135 538 69 737 364 1428 14 0 2 58 563 4 231 152 254 155 484 51 412 6 171 44 11 1 2 1 319 11 4 13 640 2 7 27 1730 315 36 0 24 6 126
21 29 186 184 139 26 1109 396 910 204 1386 61104 1464 4996 624 91 4 1090 12951 6377 250 79 86 188 779 1802 3017 1375 574 1652 235 1032 1591 22 10582 1 13 9 83 13 2 6 16 32 47 6 521 6 2286 28 3 5 5 25 8 7 11 12 4 190 311 454 849 154 64 42 386 6 2 29
13 17 37 79 11721 623 21472 482 7370 4185 28411 1464 140246 122 1766 14544 1 73 312 210 33862 14 74 40 4385 56 189 251 4797 3289 124 67 885 84 1116 7 1 2 34 418 4 130 91 125 136 296 21 376 8 84 49 3 0 1 0 263 2 1 4 344 0 6 30 1078 166 18 2 13 5 67
3 81 9 344 17 7 129 35 93 123 118 4996 122 16716 65 15 0 12 102 9 20 11 173 2 188 7238 93 4478 48 143 18 932 188 2 388 1 7 1 195 2 0 0 3 2 11 2 1012 5 4377 3 0 1 1 62 11 0 2 8 4 19 531 807 1262 12 2 4 936 1 0 15
14283 7 1935 108 304 40 1377 19105 31008 410 6867 624 1766 65 52876 114 2 2099 96 450 475 546 24 1812 1909 24 1065 165 2313 14789 7934 27 3179 184 539 10 1 9 68 42 1 33 61 97 81 38 13 29 5 93 5 20 1 1 1 21 24 3 26 406 2 8 48 331 188 55 0 10 11 76
