label,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF,response
7Networks_LH_Cont_Cing_1-lh,45.30780454179475,431.19394800000003,56.91748000000001,0.017569295056632864,3171.461132566723,0.005889233019087347,8.432756709913784,8.432756709913784,0.017569295056632864,0.004542189241009102,0
7Networks_LH_Cont_Cing_2-lh,56.289608395521306,0.0,inf,0.01203458354203307,2201.537811752885,0.0014691158237679423,inf,13.95212635043512,0.008398893697722135,0.0032848803346185334,1
7Networks_LH_Cont_PFCl_1-lh,92.76624761401024,0.0,inf,0.008308434340354347,2214.649460879437,0.00031176041844598545,inf,13.260661636002235,0.006877336919085106,0.0017308416504688722,0
7Networks_LH_Cont_PFCl_2-lh,94.17222123205224,0.0,inf,0.008226896488859303,2438.914264589604,0.0011672207540289461,inf,16.00897111405904,0.008134791543526263,0.003928277631348686,0
7Networks_LH_Cont_PFCl_3-lh,92.56460211681191,0.0,inf,0.00806517565226705,2253.6931796182257,0.0007687074787311231,inf,12.494871930743326,0.00806517565226705,0.0035708118021859753,0
7Networks_LH_Cont_PFCl_4-lh,75.10439887351255,418.47894,98.03495999999997,0.010200442780820234,2832.320072314816,0.006096056690008891,8.475938618464559,8.475938618464559,0.010200442780820234,0.005907949786985896,0
7Networks_LH_Cont_PFCl_5-lh,59.88927532099942,858.43332,79.26140000000001,0.012616481666990488,3370.153699656077,0.013512737225939455,7.439387564036713,7.439387564036713,0.012616481666990488,0.005586426483573816,0
7Networks_LH_Cont_PFCl_6-lh,35.83967480899103,2774.754999999999,55.63265999999998,0.017975052783742507,3572.908359353853,0.03273779009977274,5.746805151624546,5.746805151624546,0.017975052783742507,0.005359352078049114,0
7Networks_LH_Cont_Par_1-lh,27.989924647185557,2353.1275200000005,54.900819999999996,0.018214664188986613,2969.807992640681,0.031035387946664383,5.984586039599076,5.984586039599076,0.018214664188986613,0.004554512601393787,0
7Networks_LH_Cont_Par_2-lh,36.89254154077529,2176.336600000001,54.9646,0.018193528198149355,2607.1996821520215,0.02891334184850059,6.097263838169894,6.097263838169894,0.018193528198149355,0.0044668704561124425,0
7Networks_LH_Cont_Par_3-lh,20.685756414868322,2589.42,44.03444000000001,0.02320776847558844,4784.089513412218,0.04742263076935135,5.846536557221586,7.07818925594051,0.022709497384320085,0.002822474672946152,1
7Networks_LH_Cont_Temp_1-lh,69.693904083864,394.3258775510204,92.19567346938777,0.010846495962004502,2232.342777973387,0.007036995773630919,8.561705249171238,8.561705249171238,0.010846495962004502,0.004989619236876637,1
7Networks_LH_Cont_pCun_1-lh,55.506585393165736,0.0,inf,0.010800708353656666,2011.1786181970358,0.0010556971814842159,inf,19.560775278546977,0.010191176275756922,0.0037805494679917385,1
7Networks_LH_Default_PCC_1-lh,62.33059865190543,0.0,inf,0.011744930183437016,2194.041439756245,0.0004851252437348546,inf,12.670604304888476,0.006801770691360541,0.004831399424906854,1
7Networks_LH_Default_PCC_2-lh,50.900143220898954,0.0,inf,0.01195216361651435,2523.711623860253,0.0007721183063463147,inf,11.784946655366731,0.01195216361651435,0.004417405275961463,1
7Networks_LH_Default_PCC_3-lh,44.51205802234896,0.0,inf,0.013450868818518723,2523.6265378229573,0.0007631141407889108,inf,13.102812315023419,0.013450868818518723,0.0031355881572262432,1
7Networks_LH_Default_PCC_4-lh,46.52568091469674,0.0,inf,0.011494007139617476,2254.8242375622744,0.0006826585150515353,inf,18.055034505720435,0.00873702311798843,0.003327970115825899,1
7Networks_LH_Default_PFC_1-lh,85.7803809745173,0.0,inf,0.009708824583675894,2694.4233618124226,0.0013355093735761712,inf,13.846159320937353,0.00745584944194458,0.0033701937518413262,0
7Networks_LH_Default_PFC_10-lh,70.53356655089837,0.0,inf,0.00880006223404012,2266.6121965712255,0.0009400506019675803,inf,16.694194847613108,0.008735797340683514,0.004492089212565711,0
7Networks_LH_Default_PFC_11-lh,49.48837610306473,2866.6940000000004,68.63996000000002,0.014568773058725556,3241.7230807102023,0.025996867349950697,5.699777629431042,5.699777629431042,0.014568773058725556,0.009068919413828718,0
7Networks_LH_Default_PFC_12-lh,55.90316394204516,264.59168,76.97718000000003,0.012990863006413065,2903.003523485268,0.005733774343426607,9.137325942026079,9.137325942026079,0.012990863006413065,0.005958581674274546,0
7Networks_LH_Default_PFC_13-lh,59.705820726537624,0.0,inf,0.011403254899465485,2652.437181508693,0.0036478380466280946,inf,12.115201600725126,0.010602965182831171,0.0067187773140851515,1
7Networks_LH_Default_PFC_2-lh,96.92080004830089,0.0,inf,0.007843208612721496,1932.0924764385236,5.669792363036749e-05,inf,17.899409874968264,0.004907129145923005,0.0026468481435748576,1
7Networks_LH_Default_PFC_3-lh,85.6159055012362,0.0,inf,0.008768156440745764,2326.201909510479,0.001454242228170434,inf,14.680391090749172,0.008260909935925077,0.0023518459727453877,0
7Networks_LH_Default_PFC_4-lh,115.97652917179347,0.0,inf,0.007370932756159814,2161.359740465294,0.00033313455259980344,inf,12.538488553199572,0.0067022295905044965,0.006387746499130499,0
7Networks_LH_Default_PFC_5-lh,68.98815367921038,476.9344999999999,89.70538,0.011147603410185654,2800.3109139703643,0.007518810102738723,8.287302492570738,8.287302492570738,0.011147603410185654,0.005372905548393429,0
7Networks_LH_Default_PFC_6-lh,89.87607960067753,0.0,inf,0.007850147590624851,2128.758233451572,0.00012185837212776202,inf,18.560623806027905,0.006196224516477621,0.0034941104560071144,1
7Networks_LH_Default_PFC_7-lh,102.65645739543618,0.0,inf,0.00813061144312011,2379.46018022134,0.0005720727712527962,inf,15.336937442150047,0.00688475552646211,0.006709255772740788,0
