label,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF,response
7Networks_LH_Cont_Cing_1-lh,45.30780454179475,431.19394800000003,56.91748000000001,0.017569295056632864,3171.461132566723,0.005885595020368566,8.431989027686607,8.431989027686607,0.017569295056632864,0.004549066727818433,
7Networks_LH_Cont_Cing_2-lh,56.289608395521306,0.0,inf,0.01203458354203307,2201.537811752885,0.0014693997824079621,inf,13.952822117513875,0.008398893697722135,0.00328554380860888,3429.233901500702
7Networks_LH_Cont_PFCl_1-lh,92.76624761401024,0.0,inf,0.008308434340354347,2214.649460879437,0.00031189758930940303,inf,13.259545992466174,0.006877336919085106,0.0017321079044784764,899.5716780424118
7Networks_LH_Cont_PFCl_2-lh,94.17222123205224,0.0,inf,0.008226896488859303,2438.914264589604,0.0011672184317239197,inf,16.00820343183186,0.008134791543526263,0.003931539862539237,795.7027280330658
7Networks_LH_Cont_PFCl_3-lh,92.56460211681191,0.0,inf,0.00806517565226705,2253.6931796182257,0.0007690256165501247,inf,12.494104248516146,0.00806517565226705,0.0035738319491604533,
7Networks_LH_Cont_PFCl_4-lh,75.10439887351255,418.47894,98.03495999999997,0.010200442780820234,2832.320072314816,0.006096984968764687,8.475170936237381,8.475170936237381,0.010200442780820234,0.0059140425792234734,
7Networks_LH_Cont_PFCl_5-lh,59.88927532099942,858.43332,79.26140000000001,0.012616481666990488,3370.153699656077,0.013536007726017645,7.438619881809535,7.438619881809535,0.012616481666990488,0.0056103940540758925,
7Networks_LH_Cont_PFCl_6-lh,35.83967480899103,2774.754999999999,55.63265999999998,0.017975052783742507,3572.908359353853,0.03272199960043912,5.746037469397367,5.746037469397367,0.017975052783742507,0.0053742123495487334,1547.6026186943054
7Networks_LH_Cont_Par_1-lh,27.989924647185557,2353.1275200000005,54.900819999999996,0.018214664188986613,2969.807992640681,0.03106221909441948,5.983818357371898,5.983818357371898,0.018214664188986613,0.0045520774299993546,
7Networks_LH_Cont_Par_2-lh,36.89254154077529,2176.336600000001,54.9646,0.018193528198149355,2607.1996821520215,0.02896780539738317,6.096496155942716,6.096496155942716,0.018193528198149355,0.004454586562418889,1002.4761069417
7Networks_LH_Cont_Par_3-lh,20.685756414868322,2589.42,44.03444000000001,0.02320776847558844,4784.089513412218,0.047458849684128966,5.845768874994407,7.077166819407927,0.022709497384320085,0.0028224493435124506,1449.4167782068253
7Networks_LH_Cont_Temp_1-lh,69.693904083864,386.43936,92.19567346938777,0.010846495962004502,2232.342777973387,0.00697283916836835,8.590083912603577,8.590083912603577,0.010846495962004502,0.004994435932439125,977.355095744133
7Networks_LH_Cont_pCun_1-lh,55.506585393165736,0.0,inf,0.010800708353656666,2011.1786181970358,0.0010561551712832096,inf,19.558278335172265,0.010191176275756922,0.0037709325574296175,1115.4172753095627
7Networks_LH_Default_PCC_1-lh,62.33059865190543,0.0,inf,0.011744930183437016,2194.041439756245,0.0004715849026099825,inf,12.671300071967233,0.006801770691360541,0.004793656455016352,1669.444091796875
7Networks_LH_Default_PCC_2-lh,50.900143220898954,0.0,inf,0.01195216361651435,2523.711623860253,0.0007650190419805367,inf,11.785642422445488,0.01195216361651435,0.004408759775270669,1563.729884147644
7Networks_LH_Default_PCC_3-lh,44.51205802234896,0.0,inf,0.013450868818518723,2523.6265378229573,0.000743515168979356,inf,13.103508082102174,0.013450868818518723,0.003109760419306798,2790.1368687152863
7Networks_LH_Default_PCC_4-lh,46.52568091469674,0.0,inf,0.011494007139617476,2254.8242375622744,0.0006757360439739472,inf,18.05253756234572,0.00873702311798843,0.003323159163955002,2184.2680134773254
7Networks_LH_Default_PFC_1-lh,85.7803809745173,0.0,inf,0.009708824583675894,2694.4233618124226,0.0013361847373517344,inf,13.845391638710176,0.00745584944194458,0.0033730415646844466,
7Networks_LH_Default_PFC_10-lh,70.53356655089837,0.0,inf,0.00880006223404012,2266.6121965712255,0.0009404810717052704,inf,16.695086920686872,0.008735797340683514,0.004494827349140974,1040.2755657434464
7Networks_LH_Default_PFC_11-lh,49.48837610306473,2866.6940000000004,68.63996000000002,0.014568773058725556,3241.7230807102023,0.026004210482423226,5.699009947203862,5.699009947203862,0.014568773058725556,0.009078865662931214,1326.3833094835281
7Networks_LH_Default_PFC_12-lh,55.90316394204516,264.59168,76.97718000000003,0.012990863006413065,2903.003523485268,0.005736612952297133,9.136558259798901,9.136558259798901,0.012990863006413065,0.005964853373508336,
7Networks_LH_Default_PFC_13-lh,59.705820726537624,0.0,inf,0.011403254899465485,2652.437181508693,0.003663470519645523,inf,12.114331168842762,0.010602965182831171,0.006735103662647518,1114.6352121531963
7Networks_LH_Default_PFC_2-lh,96.92080004830089,0.0,inf,0.007843208612721496,1932.0924764385236,5.666489669046861e-05,inf,17.897993755059893,0.004907129145923005,0.002648645844198629,1469.7638595104218
7Networks_LH_Default_PFC_3-lh,85.6159055012362,0.0,inf,0.008768156440745764,2326.201909510479,0.0014548299080711657,inf,14.679623408521994,0.008260909935925077,0.002353990652538205,756.2539947032928
7Networks_LH_Default_PFC_4-lh,115.97652917179347,0.0,inf,0.007370932756159814,2161.359740465294,0.0003332319405403163,inf,12.537372909663512,0.0067022295905044965,0.006392728450818456,
7Networks_LH_Default_PFC_5-lh,68.98815367921038,476.9344999999999,89.70538,0.011147603410185654,2800.3109139703643,0.007520610286305429,8.28653481034356,8.28653481034356,0.011147603410185654,0.005378184365059178,
7Networks_LH_Default_PFC_6-lh,89.87607960067753,0.0,inf,0.007850147590624851,2128.758233451572,0.00012172290788893258,inf,18.56081125781723,0.006196224516477621,0.003495910717998407,1348.5087646245956
7Networks_LH_Default_PFC_7-lh,102.65645739543618,0.0,inf,0.00813061144312011,2379.46018022134,0.0005723113306532397,inf,15.33616975992287,0.00688475552646211,0.006714562811134935,
7Networks_LH_Default_PFC_8-lh,73.33829485459204,0.0,inf,0.009181485277855615,2306.670017845748,0.000398536617048784,inf,17.703528059572744,0.008383652012713638,0.004714227081444605,
7Networks_LH_Default_PFC_9-lh,82.22847383874426,0.0,inf,0.009698329579109951,2596.5825588519424,0.001529969159386206,inf,12.00880721243586,0.009698329579109951,0.006472996429192759,
7Networks_LH_Default_PHC_1-lh,72.46671320638755,0.0,inf,0.008981129748285875,2275.7832412485013,0.00041966237222611165,inf,12.292785083844448,0.008981129748285875,0.00318549285571397,625.6922793127596
7Networks_LH_Default_Temp_1-lh,91.94313712750952,0.0,inf,0.009943073913231962,2762.004515696133,0.001219419514456166,inf,12.567593931267412,0.009867586852032574,0.004157519472329505,
7Networks_LH_Default_Temp_2-lh,75.27907029100764,0.0,inf,0.008637410490515087,2414.1418746773106,0.00181222036920905,inf,12.60131310906391,0.008625243674575456,0.004273212581166812,972.5372843146324
7Networks_LH_Default_Temp_3-lh,69.94205989330125,0.0,inf,0.010346654305863658,2439.9725735588995,0.002057713986056603,inf,13.086770609904613,0.010271525728323074,0.005088544433286991,
7Networks_LH_Default_Temp_4-lh,62.146256353805086,0.0,inf,0.010093956566512413,2121.5616147311825,0.0031527970971935875,inf,12.894722716129122,0.008868826148125925,0.004053307219248232,
7Networks_LH_Default_Temp_5-lh,49.811016137628144,0.0,inf,0.011414563476273346,2248.433391572018,0.00458751875148453,inf,11.425575601636117,0.011134478670347283,0.005028989177042337,
7Networks_LH_Default_Temp_6-lh,49.671444286485055,368.684928,68.31245999999997,0.0146386179036738,2571.944482354189,0.007683057954481652,8.657937517411389,8.657937517411389,0.0146386179036738,0.0028868618940917777,775.9083532243967
