label,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF,response
7Networks_LH_Cont_Cing_1-lh,45.30780454179475,0.0014805379238939094,56.91748000000001,0.017569295056632864,0.009145952097232382,0.00589876137534947,8.492163061139484,8.492163061139484,0.017569295056632864,0.004901503538433296,0
7Networks_LH_Cont_Cing_2-lh,56.289608395521306,0.0,inf,0.01203458354203307,0.007808093622265257,0.0014450386265179396,inf,13.765920412028466,0.008938165591673491,0.003926218938039278,1
7Networks_LH_Cont_PFCl_1-lh,92.76624761401024,0.0,inf,0.008308434340354347,0.006558848637741191,0.0002840120101113772,inf,13.524316004450437,0.006877336919085106,0.002491799265969801,0
7Networks_LH_Cont_PFCl_2-lh,94.17222123205224,0.0,inf,0.008226896488859303,0.007810261293861105,0.0010462916100640422,inf,15.620317349746701,0.008134791543526263,0.004036103870097382,0
7Networks_LH_Cont_PFCl_3-lh,92.56460211681191,0.0,inf,0.00806517565226705,0.007312352375159074,0.000695782949039845,inf,12.555778901449592,0.00806517565226705,0.0034837682689609576,0
7Networks_LH_Cont_PFCl_4-lh,75.10439887351255,0.0012236320874951811,98.03495999999997,0.010200442780820234,0.009077325196663507,0.005409683813967295,8.767114662156894,8.767114662156894,0.010200442780820234,0.004969213852823171,0
7Networks_LH_Cont_PFCl_5-lh,59.88927532099942,0.002677392027067863,79.26140000000001,0.012616481666990488,0.011063777885747975,0.012716789668990397,7.6374561110328285,7.6374561110328285,0.012616481666990488,0.004934171608602011,0
7Networks_LH_Cont_PFCl_6-lh,35.83967480899103,0.009072454239491877,55.63265999999998,0.017975052783742507,0.011781154853783882,0.03151043091005767,5.876791631758476,5.876791631758476,0.017975052783742507,0.005205384246906708,1
7Networks_LH_Cont_Par_1-lh,27.989924647185557,0.008208446772914676,54.900819999999996,0.018214664188986613,0.013775882984848645,0.030196554944069236,6.021175249963091,6.021175249963091,0.018214664188986613,0.005109521188488711,0
7Networks_LH_Cont_Par_2-lh,36.89254154077529,0.007547021780569669,54.9646,0.018193528198149355,0.013506379259722,0.028357935519577007,6.142377068872916,6.142377068872916,0.018193528198149355,0.0048831420864159205,0
