5690 40 8 11 3066 566 164 49 60 21 20 129 1268 414 5035 2169 102 356 110 22 69 244 12 12297 169 70 25 18 106 109 669 16 2 52 40 35 82 126 25 3 55 579 159 450 97 67 17 780 422 69 9 8 527 2623 122 43 35 15 30 20 27 65 507 643 3938 24 288 5 46 26 185 91 18 152 4 826 1 5 7 1221 1882 85 11 21 5 0 102 206 310 958 1789 2 12 6 4 2 1 2 946 25 23 18 3 23 53 515 24 0 11 4 9 10 13 11 10 17 188 10 13 0 9 2 36 14 24 1 0 211 356 125 1 20 2 8 1 1 1 43 576 192 13 214 9 17 8 910 21 4 28 4
40 18703 0 3 6 1 0 1 0 10 381 16 15 12 84 18 1 13 13185 827 14682 1177 51 69 155 12 13 2 24 41 19 1 4 101 5 12 314 1016 6 1 20 283 10246 281 534 8 1 25 297 8 126 1627 29 1 7 26 32 7286 4375 2448 1895 4135 5 18 8 136 17 0 13 6 0 0 163 339 3 0 24 0 0 0 0 1 0 0 1 73 0 1 0 8 3 0 0 132 174 36 12 1 1 35 0 46 2 1 64 0 0 0 8 7 3 21 19 0 0 0 27 161 15 66 0 0 3 27 0 3 4 0 0 0 0 26 52 99 3 7 9 0 1 3 180 6 0 1 4 1 4 10 13 5
8 0 8327 133 2 31 186 1517 61 2 1 108 23 64 121 10243 41 31 8 4 3 1 1 17 51 116 770 1398 4356 404 3 0 7 12 1 0 2 1 7 9 29 21 1 3 2 12261 2513 11 103 20 0 0 35 31 69 1 14 0 1 0 1 0 10 2 3 1 2983 2400 42 93 1 16 3 7 3 1 0 2184 247 1 7 13 73 35 1 0 80 8 5 121 556 19 10 2 0 2 0 0 4 87 1026 243 1431 1735 263 0 0 1 29 1 39 10 28 1 0 89 3 1 1 1 1535 562 5 10 31 5 0 9 1 18 5 16 0 1 3 0 0 0 0 0 4 348 752 40 162 1 65 4 25 7
11 3 133 9978 8 2 1 8 3 0 4 4663 59 195 216 924 1366 553 45 7 46 3 3 42 217 12501 98 4170 5756 66 0 1 104 1128 6 314 244 240 14 14 1892 27 2 64 8 9662 9 48 1101 2498 26 0 115 5 56 117 160 2 8 4 72 17 15 2 2 7 124 880 719 1325 1 1 34 177 44 0 0 324 42 1 1 4 49 1 1 0 22 1 5 63 434 5 1 5 0 3 0 0 0 15 132 34 173 552 30 0 0 0 2 0 4 1 2 0 0 10 1 0 2 0 274 55 0 3 4 0 0 3 3 8 1 10 0 2 0 2 0 0 0 0 2 28 63 17 198 0 5 0 6 1
3066 6 2 8 1855 211 59 20 25 7 1 35 183 126 1444 2430 56 135 19 3 13 47 3 501 41 11 4 10 42 39 133 4 0 12 6 7 11 24 6 0 4 102 33 76 27 16 9 103 145 25 0 1 80 1001 78 10 3 6 7 5 2 10 92 35 24 8 92 3 6 9 90 38 2 30 0 419 0 2 1 626 857 52 6 3 5 0 60 100 151 524 974 2 7 1 0 4 0 0 346 5 8 7 1 6 10 83 5 0 6 1 3 4 8 7 4 10 88 2 3 0 7 1 11 7 17 0 0 106 189 72 1 3 0 1 0 1 3 38 117 84 6 95 1 6 5 315 7 2 9 2
566 1 31 2 211 29134 6882 1679 1564 447 4 104 31 166 438 14573 15 15 8 5 8 24 100 584 16 6 25 6 6 1679 7083 886 1 6 1 2 4 6 5 12 3 1837 7 21 226 16 365 14 28 16 1 0 167 41 46 2 2 0 4 3 6 12 20 1360 15 54 7016 9 6 6 6614 2140 2 7 0 1113 0 8 4 1234 1617 179 25 9 11 9 128 112 143 1082 2563 3 12 15 19 4 5 1 1112 13 6 6 3 17 10 596 55 1 2 3 3 8 12 9 8 9 539 11 29 6 5 12 20 19 20 4 0 156 276 266 1 7 2 8 2 4 7 40 1009 129 25 440 5 12 13 1433 9 10 14 2
164 0 186 1 59 6882 13392 5506 966 323 2 249 23 208 424 8331 10 30 5 1 4 14 64 147 8 7 34 11 42 1799 567 191 1 3 2 1 6 5 2 15 8 1400 2 3 131 56 1124 11 24 26 2 0 198 56 111 1 4 1 2 0 2 6 18 203 3 61 2740 29 25 7 268 1668 2 3 1 52 2 47 6 103 117 479 50 7 4 5 153 5 37 980 2829 2 10 10 11 8 1 2 61 11 6 8 1 72 18 12 3 0 0 1 4 15 8 1 5 5 30 5 3 4 12 32 3 4 28 1 0 62 94 226 2 10 2 15 2 4 2 5 38 5 17 196 14 31 122 39 5 4 15 0
49 1 1517 8 20 1679 5506 8268 1695 172 0 45 4 30 160 9322 3 7 5 4 0 12 53 39 4 1 53 20 134 2843 136 48 1 1 0 1 2 1 2 3 1 358 1 2 99 246 6624 1 9 9 0 0 23 31 31 1 4 0 1 1 3 4 1 53 0 57 3836 62 48 41 55 2768 0 2 0 15 0 446 21 28 24 41 214 2 0 1 33 3 6 319 2383 0 4 14 9 7 1 0 14 8 1 13 19 884 27 10 1 0 2 0 1 8 5 0 0 6 9 3 3 2 93 59 1 3 12 2 0 16 12 56 0 16 2 9 0 4 1 0 4 2 11 170 15 59 650 7 0 5 7 0
60 0 61 3 25 1564 966 1695 4637 1192 1 8 3 9 33 832 2 3 5 14 2 19 51 42 4 33 132 5 5 6906 181 29 17 34 0 20 2 7 1 1 27 127 0 2 187 14 1292 1 54 3 1 0 8 8 4 2 4 1 3 0 0 2 1 67 0 248 2864 21 2 1 68 7771 1 5 15 13 0 9 0 17 18 6 3 0 0 0 3 1 3 28 70 1 0 3 4 0 0 1 6 4 5 20 7 2 33 6 2 0 2 0 2 2 2 0 0 3 3 0 1 1 7 15 0 3 1 0 0 7 10 6 0 6 1 2 0 0 0 0 13 0 2 30 11 2 1 13 0 0 4 3
21 10 2 0 7 447 323 172 1192 109 14 6 1 11 26 438 1 1 54 41 6 230 240 8 6 9 19 0 1 840 44 11 21 38 1 18 7 12 2 1 17 179 19 11 152 5 12 1 25 1 1 0 5 4 4 5 11 7 17 2 3 11 0 15 0 447 521 1 2 1 21 138 2 14 13 2 0 3 1 7 6 2 1 0 0 0 0 0 2 21 26 0 0 3 2 0 0 0 3 1 0 8 2 0 9 1 0 0 3 0 0 2 0 0 0 1 3 0 2 4 1 2 1 2 0 1 0 1 2 3 0 0 0 6 0 0 1 0 3 0 8 6 3 0 5 3 0 0 0 1
