label,ED,SC_W,SC_L,SPE,SPE_W,COM,SI,SI_L,NAV,DIF,response
7Networks_LH_Cont_Cing_1-lh,45.30780454179475,431.19394800000003,56.91748000000001,0.017569295056632864,3171.461132566723,0.006232581696423339,8.405770394358811,8.405770394358811,0.017569295056632864,0.004507560788508699,
7Networks_LH_Cont_Cing_2-lh,56.289608395521306,0.0,inf,0.01203458354203307,2201.537811752885,0.0014913401335735848,inf,13.893914636742903,0.008398893697722135,0.003313342377532933,3429.233901500702
7Networks_LH_Cont_PFCl_1-lh,92.76624761401024,0.0,inf,0.008308434340354347,2214.649460879437,0.0003190520557739131,inf,13.235507543859331,0.006877336919085106,0.001788255986350756,899.5716780424118
7Networks_LH_Cont_PFCl_2-lh,94.17222123205224,0.0,inf,0.008226896488859303,2438.914264589604,0.0013183884229895886,inf,16.011011634642447,0.008134791543526263,0.004109322229148273,795.7027280330658
7Networks_LH_Cont_PFCl_3-lh,92.56460211681191,0.0,inf,0.008187643764789955,2253.6931796182257,0.0008517942242214433,inf,13.030661300644836,0.00806517565226705,0.0036643280117327017,
7Networks_LH_Cont_PFCl_4-lh,75.10439887351255,418.47894,98.03495999999997,0.010200442780820234,2832.320072314816,0.006209218699413144,8.448952302909586,8.448952302909586,0.010200442780820234,0.006173301914722653,857.1912270784378
7Networks_LH_Cont_PFCl_5-lh,59.88927532099942,858.43332,79.26140000000001,0.012616481666990488,3370.153699656077,0.01365332991364881,7.412401248481739,7.412401248481739,0.012616481666990488,0.005816860710764152,
7Networks_LH_Cont_PFCl_6-lh,35.83967480899103,2774.754999999999,55.63265999999998,0.017975052783742507,3572.908359353853,0.032771455012689,5.719818836069572,5.719818836069572,0.017975052783742507,0.005550107773329149,1547.6026186943054
7Networks_LH_Cont_Par_1-lh,27.989924647185557,2353.1275200000005,54.900819999999996,0.018214664188986613,2969.807992640681,0.031562146806044834,5.957599724044102,5.957599724044102,0.018214664188986613,0.004503478773089842,639.615333378315
7Networks_LH_Cont_Par_2-lh,36.89254154077529,2176.336600000001,54.9646,0.018193528198149355,2607.1996821520215,0.030192062773203725,6.07027752261492,6.07027752261492,0.018193528198149355,0.004170701221836731,1002.4761069417
7Networks_LH_Cont_Par_3-lh,20.685756414868322,2589.42,44.03444000000001,0.02320776847558844,4784.089513412218,0.04797388313666996,5.819550241666612,7.051870708216576,0.022709497384320085,0.0028700351476063034,1449.4167782068253
7Networks_LH_Cont_Temp_1-lh,69.693904083864,0.0,inf,0.009801957333255965,2232.342777973387,0.004077714561604522,inf,12.441786244978479,0.008589016914866352,0.004865343408914749,977.355095744133
7Networks_LH_Cont_pCun_1-lh,55.506585393165736,0.0,inf,0.010800708353656666,2011.1786181970358,0.0011033731093363806,inf,19.579977549753334,0.010191176275756922,0.0033327586172358196,1115.4172753095627
7Networks_LH_Default_PCC_1-lh,62.33059865190543,0.0,inf,0.011744930183437016,2194.041439756245,0.00040778837366389406,inf,12.612392591196258,0.006801770691360541,0.0034061764332540658,1669.444091796875
7Networks_LH_Default_PCC_2-lh,50.900143220898954,0.0,inf,0.01195216361651435,2523.711623860253,0.0006650761487802545,inf,11.726734941674513,0.01195216361651435,0.00412394395080958,1563.729884147644
7Networks_LH_Default_PCC_3-lh,44.51205802234896,0.0,inf,0.013450868818518723,2523.6265378229573,0.0007168249372286712,inf,13.044600601331199,0.013450868818518723,0.0029301150564058445,2790.1368687152863
7Networks_LH_Default_PCC_4-lh,46.52568091469674,0.0,inf,0.011494007139617476,2254.8242375622744,0.0005430408260838251,inf,18.074236776926792,0.00873702311798843,0.003239050264843583,2184.2680134773254
7Networks_LH_Default_PFC_1-lh,85.7803809745173,0.0,inf,0.009708824583675894,2694.4233618124226,0.0013697355226938443,inf,13.848199841520762,0.00745584944194458,0.003534163352246619,
