regionName,1_Visual_A,2_Visual_B,3_Somatomotor_A,4_Somatomotor_B,5_Temporal_Parietal,6_Frontoparietal_Area,7_Dorsal_Attention_B,8_Salience+Ventral_Attention_A,9_Salience+Ventral_Attention_B,10_Control_A,11_Control_B,12_Control_C,13_Default_A,14_Default_B,15_Default_C,16_Limbic_A,17_Limbic_B
PHA1_L,0.0009186427054027,0.0254588288938708,0.0,0.0,0.0092191186961532,0.0,0.0,0.0,0.0006723906072204,0.0,0.0,0.0,0.0,0.0,0.1398195876288659,0.0,0.0
PHA3_L,0.0120131277478481,8.410075270173667e-05,0.0,0.0,0.0147449130050132,0.0,0.0,0.0,0.014391674969556,0.0,0.0,0.0,0.0,0.0,0.0215650030807147,0.0,0.0
STSda_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0537802668423653,0.0,0.0089397656037067,0.060402051152987
STSdp_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0812555260831123,0.0,0.0,0.0292359877241156
STSvp_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000352015287521,0.005494741360807,0.0233424159854677,0.0,0.0,0.0233240906866742
TGd_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0020791101408597,0.0,0.2834884224193897,0.0,0.0,0.0,0.0,0.0007893438579181,0.0,0.0,0.1008643367155204
TE1a_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0146760644974413,0.0,0.0,0.0,0.0059898993853501,0.0,0.0,0.0296156599786962,0.0695073397562532
TE1p_L,0.0008070617906683,0.0,0.0,0.0,0.0379525956085502,0.0,0.0,0.0,0.0,0.0,0.0,0.0667486993502148,0.0641677016295961,0.0030799384012319,0.0,0.0,0.0093424891691963
TE2a_L,0.0,0.0,0.0,0.0,0.0110949344846628,0.0,0.0,0.0,0.0909652876842605,0.0,0.0,0.0073498296175861,0.0141923508256313,0.0,0.0,6.908582186220833e-05,0.0326319275113639
TF_L,0.0022436733629011,0.0,0.0,0.0,0.0334485003254719,0.0,0.0,0.0,0.1558675647471776,0.0,0.0,0.0,0.0,0.0,0.0061001262095077,0.0,0.0
TE2p_L,0.0058294187560133,0.0,0.0,0.0,0.0733423545331529,0.0,0.0,0.0,0.0286939650770958,0.0,0.0,0.0337530646735378,0.0003276674175711,0.0,0.0,0.0,0.0
PHT_L,0.0030855694528624,0.0,0.0,0.0,0.0308098127143234,0.0236516639041183,0.0017925796636554,0.0,0.0,0.0,0.0,0.0477531358357962,0.0013657360915846,0.0286280729579698,0.0,0.0,0.0014571384281506
PH_L,0.040207522697795,0.0,0.0,0.0,0.0706618479961163,6.548788474132285e-05,0.0,0.0,0.0,0.0,0.0,0.0340302332755879,8.17026839331672e-05,0.0,0.0,0.0,0.0
VMV1_L,0.0163033950797639,0.0802831693181376,0.0,0.0,0.0043529214799933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002682403433476,0.0,0.0
VMV3_L,0.0228814096469544,0.0051221947302166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PHA2_L,0.0029380508845408,0.0044298675299229,0.0,0.0,0.0067249895851931,0.0,0.0,0.0,0.0001116445238361,0.0,0.0,0.0,0.0,0.0,0.1001577287066246,0.0,0.0
V4t_L,0.0160081961964525,0.0,0.0,0.0,0.0015831455885039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FST_L,0.0117384013415315,0.0,0.0,0.0,0.0377358490566037,0.0077724006452559,0.0,0.0,0.0,0.0,0.0,0.0075112540192926,0.0,0.0,0.0,0.0,0.0
V3CD_L,0.0258561322231265,0.0,0.0,0.0,0.0007151796888968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LO3_L,0.0201789571120024,0.0,0.0,0.0,0.015754511786491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VMV2_L,0.0089212274596646,0.0397523058935608,0.0,0.0,0.0005418096442116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VVC_L,0.0753945367797409,0.0005400114752438,0.0,0.0,0.0197193017757432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035046728971962,0.0,0.0
TGv_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1945114305006269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000759347568569
MBelt_L,0.0,0.0,0.0,0.0217670036079553,0.0,0.0,0.0012561170282364,0.0,0.0,0.0,0.0,0.0,0.0,0.0035177790454459,0.0,0.0,0.0004972980141232
LBelt_L,0.0,0.0,0.0,0.0352779893373952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012792757331234,0.0,0.0,0.0
A4_L,0.0,0.0,0.0,0.0661120960043638,0.0,0.0,0.0002902687404755,0.0,0.0,0.0,0.0,0.0,0.0,0.0159741764608508,0.0,0.0,0.0
STSva_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000739677152678,0.0069171807814544,0.0,0.008169213952864,0.0246185281613551
TE1m_L,0.0,0.0,0.0,0.0,0.0014545062759252,0.0,0.0,0.0,0.0022872827081427,0.0,0.0,0.0,0.0709709015222625,0.0,0.0,7.248083787848587e-05,0.0208392179016414
PSL_L,0.0,0.0,0.0,0.0262093963474139,0.0,0.0,0.0094718926518832,0.0104282676926192,0.0,0.0,0.0,0.0,0.0006258605582676,0.0582092107515836,0.0,0.0059133327173611,0.0053947074408657
STV_L,0.0,0.0,0.0,0.0011010487489333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1656874265569917,0.0,0.0028215980505322,0.0006337336417503
TPOJ1_L,0.0,0.0,0.0,0.0,0.0007833920877399,0.0006163539241199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1367343397536005,0.0,0.0013382153411519,0.0106188444387411
TPOJ2_L,0.0071458099568889,0.0,0.0,0.0,0.0608264276453013,0.0460262612301313,0.0008507444013511,0.0,0.0,0.0,0.0,0.0,0.0,0.0078111286642092,0.0,0.0,0.0
TPOJ3_L,0.0002537910031089,0.0,0.0,0.0,0.0244461882054687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7Pm_L,0.0,0.0,0.0,0.0,0.0026839372192076,0.0,0.0,0.0,0.0,0.0,0.0937568455640744,0.0,0.0,0.0,0.0,0.000687823611456,0.0
7AL_L,0.0,0.0,0.0024406332453825,0.0,0.0069160278946458,0.0560289731572219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7Am_L,0.0,0.0,0.0003128911138923,0.0,0.0314787298442573,0.044088041873574,0.0050454333929314,0.0,0.0,0.0,0.0567294879116695,0.0,0.0,0.0,0.0,0.0,0.0
7PL_L,0.0,0.0002524721228697,0.0,0.0,0.031450994276273,0.0001462202076326,0.0,0.0,0.0,0.0,0.012621140410187,0.0,0.0,0.0,0.0,0.0,0.0
7PC_L,0.0,0.0,0.0076064908722109,0.0,0.0222073801970278,0.0321132126819975,0.0,0.0,0.0,0.0,0.0,0.0057567996097085,0.0110846195674906,0.0,0.0,0.0,0.0
LIPv_L,0.0,0.0,0.0,0.0,0.0230292294065544,0.0006585687106688,0.0,0.0,0.0,0.0,0.0,0.0046749377103079,0.0012240437158469,0.0,0.0,0.0,0.0
VIP_L,0.0,0.0,0.0,0.0,0.0354476515196049,0.0076408091980788,0.0,0.0,0.0,0.0,0.0,0.0017910600516848,0.0,0.0,0.0,0.0,0.0
MIP_L,0.0,0.0,0.0,0.0,0.0227069017030176,0.0,0.0,0.0,0.0,0.0,0.0003103903158221,0.0085645324543873,0.0,0.0,0.0,0.0,0.0
LIPd_L,0.0,0.0,0.0,0.0,0.0001225865767698,0.0,0.0,0.0,0.0,0.0,0.0,0.0130535141015096,4.493372275893058e-05,0.0,0.0,0.0,0.0
PFt_L,0.0,0.0,0.0,5.879413234559191e-05,0.0,0.0483591152233627,0.0042384927506267,0.0002655337227827,0.0,0.0,0.0,0.0076400030560012,0.0,0.0,0.0,0.0,0.0
AIP_L,0.0,0.0,0.0,0.0,0.0085415825012985,0.0141556409162042,0.0,0.0,0.0,0.0,0.0,0.0441646732972428,0.0004297932694374,0.0,0.0,0.0,0.0
PGp_L,0.0249198402430106,0.0,0.0,0.0,0.0672119679276758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0133004926108374,0.0,0.0
IP2_L,0.0,0.0,0.0,0.0,0.0,0.0015604101649576,0.0,0.0,0.0,0.0,0.0,0.0147994287939763,0.0061763797591211,0.0,0.0,0.0003494127923905,0.0
IP1_L,0.0001760460066897,0.0,0.0,0.0,0.0238695579088922,0.0,0.0,0.0,0.0,0.0,0.0,0.025910931174089,0.0003363181569764,0.0,0.0005417118093174,0.005171611943075,0.0
IP0_L,0.0172298325722983,0.0,0.0,0.0,0.0213568568278103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.615711212230831e-05,0.0
PFop_L,0.0,0.0,0.0,0.0081853062384538,0.0,0.0181023720349563,0.0500740071749328,0.0,0.0,0.0,0.0,0.0,0.0,8.816787162757891e-05,0.0,0.0,0.0
PF_L,0.0,0.0,0.0,0.0040444412723336,0.0,0.0144602623024324,0.0752317540516816,0.0371310972939837,0.0,0.0,0.0,0.0167925047057081,0.0189272115633433,0.0076527156982256,0.0,0.0,0.0022957775130045
PFm_L,0.0,0.0,0.0,0.0,0.0004837695321948,0.0,0.0,0.0001785873738726,0.0,0.0,0.0,0.0106027627524082,0.0458832813498177,0.0022337009632835,0.0,0.0344427049138932,0.0213122957816961
PGi_L,0.0,0.0,0.0,0.0,0.0283362355548519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0298270664762811,0.0442978322337417,0.0279470364347872,0.0227899910080307
PGs_L,0.00128280506708,0.0,0.0,0.0,0.0118882910581603,0.0,0.0,0.0,0.0,0.0,0.0009757684176288,0.0124742010841214,0.0075820074641524,0.0,0.0412063632346442,0.0469075686185213,0.0
RSC_L,0.0,0.0067553479838205,0.0,0.0,0.0,0.0,0.0,0.0005856671281013,0.0,0.0,0.0391808974643306,0.0005616399887672,0.0,0.0,0.0279126213592233,0.0112706292768012,0.0
POS2_L,0.0,0.0261474859545599,0.0,0.0,0.0012490241998438,0.0,0.0,0.0,0.0,0.0,0.2010421919650361,0.0,0.0,0.0,0.0100548446069469,0.0084261209750225,0.0
PCV_L,0.0,0.0,0.0,0.0,0.0,0.005934925289764,0.0093271824346467,0.0,0.0,0.0,0.1401465853825604,0.0,0.0,0.0,0.0,0.0106680690419397,0.0
7m_L,0.0,0.0004736904432953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0118287519322535,0.0,0.0,0.0,0.0,0.0496608934476767,0.0
POS1_L,0.0,0.0715089476932012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003626791459491,0.0,0.0,0.0,0.1735912129894938,0.018084285688656,0.0
23d_L,0.0,0.0,0.002644103648863,0.0,0.0,0.0,0.0138019169329073,0.0043053659561062,0.0,0.0,0.0256136606189968,0.0,0.0,0.0,0.0,0.0236057610201332,0.0034945621999412
v23ab_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035136815920398,0.0234518138512275,0.0
d23ab_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0001041097316571,0.0,0.0,0.0,0.0020972211819339,0.0,0.0,0.0,0.0,0.0403884988941244,0.0
31pv_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092921960072595,0.0,0.0,0.0,0.0,0.0488372536675632,0.0
p24pr_L,0.0,0.0,0.0074369189907038,0.0,0.0,0.0,0.0559132062889532,0.0022130888397091,0.0,0.0,0.0014368848336805,0.0001011045673988,0.0,0.0,0.0,0.0001902478930045,0.0005564465974927
33pr_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0079498466053087,0.0079008010534401,0.0,0.0,0.0,0.0031004493023989,0.0,0.0,0.0,0.0005092148299026,0.0
a24pr_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0283217055268822,0.0273958000213196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p32pr_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0402569370400228,0.0125601282736504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a24_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0063326925251611,0.0,0.0,0.0,0.0,0.0,0.0672735804786485,0.0
d32_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0260842562881689,0.0,0.0,0.0,0.0,0.0045039303165498,0.0,0.0,0.0309102176484948,0.0013918109726492
8BM_L,0.0,0.0,0.0,0.0,0.0,0.0,0.000880342870381,0.0474698566410329,0.0,0.0,0.0,0.0048012071606575,0.0502788876142252,0.0,0.0,0.0004934877244928,0.0103250712338
p32_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0217918144981484,0.0
10r_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009486585967442,0.0,0.0,0.0,0.0,0.0,0.0353302322077628,0.0003244751614263
9m_L,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012980751400066,0.0,0.0,0.0706739647628396,0.0661946799522186
